NAME	TYPE	RESOURCE GROUP	LOCATION	SUBSCRIPTION	RESOURCE LINK
NodeAndKubernetesRecordingRulesRuleGroup-Win-vstudio-aks-cluster	Prometheus rule group	rg-vstudio-aks-cluster	Canada Central	MPN - Vibi Abraham	rg-vstudio-aks-cluster/providers/Microsoft.AlertsManagement/prometheusRuleGroups/NodeAndKubernetesRecordingRulesRuleGroup-Win-vstudio-aks-cluster
NodeAndKubernetesRecordingRulesRuleGroup-Win-vstudio-k8s-cluster	Prometheus rule group	rg-vstudio-k8s-cluster	Canada Central	MPN - Vibi Abraham	rg-vstudio-k8s-cluster/providers/Microsoft.AlertsManagement/prometheusRuleGroups/NodeAndKubernetesRecordingRulesRuleGroup-Win-vstudio-k8s-cluster
NodeRecordingRulesRuleGroup-vstudio-aks-cluster1	Prometheus rule group	rg-vstudio-aks-cluster	Canada Central	MPN - Vibi Abraham	rg-vstudio-aks-cluster/providers/Microsoft.AlertsManagement/prometheusRuleGroups/NodeRecordingRulesRuleGroup-vstudio-aks-cluster1
NodeRecordingRulesRuleGroup-vstudio-k8s-cluster1	Prometheus rule group	rg-vstudio-k8s-cluster	Canada Central	MPN - Vibi Abraham	rg-vstudio-k8s-cluster/providers/Microsoft.AlertsManagement/prometheusRuleGroups/NodeRecordingRulesRuleGroup-vstudio-k8s-cluster1
NodeRecordingRulesRuleGroup-Win-vstudio-aks-cluster1	Prometheus rule group	rg-vstudio-aks-cluster	Canada Central	MPN - Vibi Abraham	rg-vstudio-aks-cluster/providers/Microsoft.AlertsManagement/prometheusRuleGroups/NodeRecordingRulesRuleGroup-Win-vstudio-aks-cluster1
NodeRecordingRulesRuleGroup-Win-vstudio-k8s-cluster1	Prometheus rule group	rg-vstudio-k8s-cluster	Canada Central	MPN - Vibi Abraham	rg-vstudio-k8s-cluster/providers/Microsoft.AlertsManagement/prometheusRuleGroups/NodeRecordingRulesRuleGroup-Win-vstudio-k8s-cluster1
openshift-demo-env	Container Apps Environment	openshift-rag-demo-rg	Canada Central	MPN - Vibi Abraham	openshift-rag-demo-rg/providers/Microsoft.App/managedEnvironments/openshift-demo-env
openshift-demo-openai-mvzfd8	Azure OpenAI	openshift-rag-demo-rg	East US	MPN - Vibi Abraham	openshift-rag-demo-rg/providers/Microsoft.CognitiveServices/accounts/openshift-demo-openai-mvzfd8
openshift-demo-search-mvzfd8	Search service	openshift-rag-demo-rg	Canada Central	MPN - Vibi Abraham	openshift-rag-demo-rg/providers/Microsoft.Search/searchServices/openshift-demo-search-mvzfd8
openshift-rag-app	Container App	openshift-rag-demo-rg	Canada Central	MPN - Vibi Abraham	openshift-rag-demo-rg/providers/Microsoft.App/containerApps/openshift-rag-app
